1819,126,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,12,Carry Over Blocks
1820,128,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,12,Carry Over Blocks
1821,351,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,15,Carry Over Blocks
1822,303,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1823,270,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,41,Carry Over Blocks
1824,353,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,304,Carry Over Blocks
1825,355,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,31.5,Carry Over Blocks
1826,239,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,13,Carry Over Blocks
1827,203,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,135,Carry Over Blocks
1828,921,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,118,Carry Over Blocks
1829,133,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,277.9,Carry Over Blocks
1830,307,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,21,Carry Over Blocks
1831,243,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,36,Carry Over Blocks
1832,1437,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,19.5,Carry Over Blocks
1833,369,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,29.5,Carry Over Blocks
1834,311,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,32,Carry Over Blocks
1835,284,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1836,375,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,32.5,Carry Over Blocks
1837,178,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,30,Carry Over Blocks
1838,250,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,80.2,Carry Over Blocks
1839,141,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,110.2,Carry Over Blocks
1840,315,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,159,Carry Over Blocks
1841,286,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,25,Carry Over Blocks
1842,380,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,100,Carry Over Blocks
1843,317,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,584.5,Carry Over Blocks
1844,212,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,61,Carry Over Blocks
1845,254,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,241.4,Carry Over Blocks
1846,179,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1847,321,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,36.5,Carry Over Blocks
1848,320,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,28,Carry Over Blocks
1849,322,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,36.5,Carry Over Blocks
1850,3802,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,100,Carry Over Blocks
1851,3822,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,20,Carry Over Blocks
